iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__penalty,param_clf__l1_ratio,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,80,0.15353269577026368,0.025330047770875684,0.01356649398803711,0.003152786938406411,l1,0.1,22.854638641349883,"{'clf__penalty': 'l1', 'clf__l1_ratio': 0.1, 'clf__C': 22.854638641349883}",0.828125,0.6181818181818182,0.7666666666666666,0.625,0.7333333333333334,0.7142613636363636,0.08157677805937869,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.04338307380676269,0.008829406366351407,0.011413049697875977,0.004001089879849839,elasticnet,0.0,2.154434690031882,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': 0.0, 'clf__C': 2.154434690031882}",0.859375,0.7272727272727273,0.7166666666666666,0.625,0.7666666666666666,0.7389962121212121,0.07601038310797009,7,1.0,0.9969230769230769,1.0,1.0,1.0,0.9993846153846153,0.0012307692307692351
0,80,0.1360806941986084,0.011511373400693602,0.017201948165893554,0.0028299524454495116,l1,0.2,100.0,"{'clf__penalty': 'l1', 'clf__l1_ratio': 0.2, 'clf__C': 100.0}",0.890625,0.6363636363636364,0.7833333333333333,0.640625,0.7333333333333334,0.7368560606060606,0.09505427666909784,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.101708984375,0.021035041470306194,0.014637517929077148,0.0036279587525948525,elasticnet,0.2,22.854638641349883,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': 0.2, 'clf__C': 22.854638641349883}",0.890625,0.6545454545454545,0.7666666666666666,0.640625,0.7333333333333334,0.7371590909090908,0.0900899132223852,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.054874420166015625,0.005680707719325617,0.013421916961669922,0.00255947353338903,l2,0.2,17.012542798525857,"{'clf__penalty': 'l2', 'clf__l1_ratio': 0.2, 'clf__C': 17.012542798525857}",0.890625,0.6545454545454545,0.7666666666666666,0.65625,0.7333333333333334,0.7402840909090909,0.08690176578318232,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.05109720230102539,0.007696510337312358,0.01174335479736328,0.0017444869632203311,l2,0.7000000000000001,9.426684551178845,"{'clf__penalty': 'l2', 'clf__l1_ratio': 0.7000000000000001, 'clf__C': 9.426684551178845}",0.890625,0.6727272727272727,0.7666666666666666,0.65625,0.75,0.7472537878787879,0.0833973583249129,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.029266881942749023,0.0014733157409229372,0.009283494949340821,0.001049388691577907,l1,0.7000000000000001,0.0024244620170823282,"{'clf__penalty': 'l1', 'clf__l1_ratio': 0.7000000000000001, 'clf__C': 0.0024244620170823282}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0,80,0.026708459854125975,0.0029463524708605348,0.008289861679077148,0.0011089229689951008,l1,0.1,0.062355073412739125,"{'clf__penalty': 'l1', 'clf__l1_ratio': 0.1, 'clf__C': 0.062355073412739125}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0,80,0.07425212860107422,0.00577132708132997,0.00670466423034668,0.0016115620336755335,elasticnet,0.5,55.41020330009481,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': 0.5, 'clf__C': 55.41020330009481}",0.890625,0.6363636363636364,0.7833333333333333,0.640625,0.7333333333333334,0.7368560606060606,0.09505427666909784,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,80,0.02656083106994629,0.0018517239769702714,0.009421014785766601,0.0005930596015791412,l2,0.0,0.019144819761699575,"{'clf__penalty': 'l2', 'clf__l1_ratio': 0.0, 'clf__C': 0.019144819761699575}",0.78125,0.7636363636363637,0.7,0.734375,0.75,0.7458522727272727,0.027642848371969623,4,0.9391025641025641,0.8769230769230769,0.9375,0.9385714285714286,0.9613636363636364,0.9306921411921412,0.028323199724293598
1,240,0.04584360122680664,0.009666312742034814,0.017898368835449218,0.00705834966454656,elasticnet,0.0,2.154434690031882,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': 0.0, 'clf__C': 2.154434690031882}",0.8693284936479129,0.8361344537815126,0.61328125,0.6462962962962963,0.7232323232323232,0.737654563391609,0.10105381515037165,8,0.9206370272063702,0.9057540884312538,0.9481088254810882,0.9424894957983194,0.919442761962447,0.9272864397758959,0.01571040917650977
1,240,0.08587403297424316,0.00887981494502326,0.010290145874023438,0.0020851797949755974,l2,0.2,17.012542798525857,"{'clf__penalty': 'l2', 'clf__l1_ratio': 0.2, 'clf__C': 17.012542798525857}",0.852994555353902,0.838235294117647,0.583984375,0.6314814814814815,0.688888888888889,0.7191169189683839,0.10859734524172163,13,0.925149303251493,0.9126589945487583,0.9540809555408095,0.9503676470588236,0.932404603270745,0.934932300734126,0.015512042803625854
1,240,0.029416513442993165,0.003920320787690409,0.018970346450805663,0.008225661054514296,l2,0.0,0.019144819761699575,"{'clf__penalty': 'l2', 'clf__l1_ratio': 0.0, 'clf__C': 0.019144819761699575}",0.8384754990925589,0.8004201680672268,0.69140625,0.6740740740740742,0.7212121212121212,0.7451176224891962,0.06368301966567236,5,0.8337093563370935,0.8136886735311932,0.8783012607830126,0.8834033613445378,0.8368261659600242,0.8491857635911723,0.02709567644685562
1,240,0.08273472785949706,0.0053356950405366275,0.007970190048217774,0.002994327050314044,l2,0.7000000000000001,9.426684551178845,"{'clf__penalty': 'l2', 'clf__l1_ratio': 0.7000000000000001, 'clf__C': 9.426684551178845}",0.8566243194192378,0.8277310924369747,0.587890625,0.638888888888889,0.692929292929293,0.7208128437348789,0.1049129275634084,12,0.9255474452554745,0.9118110236220471,0.9516921035169211,0.9486607142857144,0.930587522713507,0.9336597618787328,0.014851327320925685
2,720,0.06670770645141602,0.010563221505981659,0.008650827407836913,0.001411593631591187,elasticnet,0.0,2.154434690031882,"{'clf__penalty': 'elasticnet', 'clf__l1_ratio': 0.0, 'clf__C': 2.154434690031882}",0.7976190476190477,0.8100391434492287,0.7211363636363637,0.6858076563958916,0.7586980920314254,0.7546600606263913,0.04646098342386063,2,0.833762223365929,0.83932193567082,0.8498544155825528,0.8598615182022854,0.8514181963744495,0.8468436578392075,0.009242899822990766
2,720,0.026339149475097655,0.0021890219547848673,0.007722330093383789,0.0017287359409914682,l2,0.0,0.019144819761699575,"{'clf__penalty': 'l2', 'clf__l1_ratio': 0.0, 'clf__C': 0.019144819761699575}",0.8092903828197946,0.7837900069076674,0.751590909090909,0.6981792717086834,0.7865319865319865,0.7658765114118082,0.0385209057552983,1,0.8040258477726311,0.8126485076789337,0.8190306803023565,0.8312730979992354,0.8152055812889576,0.8164367430084228,0.008907780270562743
